get draw earn gain grab have
see examine identify look notice observe
know experience have learn notice perceive
would bid command decree demand determine
learn enroll gain get grasp master
become incline mature metamorphose shift wax
come arrive become enter get happen
thank kiss praise
add cast compute count enumerate figure
understand discern explain fathom follow get
choose adopt appoint cast designate determine
remember get learn recall recognize relive
grow age become breed build come
bring carry deliver import lead take
begin create do establish found inaugurate
tend contribute favor go gravitate influence
enjoy like love relish savor dig
decide choose conclude determine elect end
continue endure extend last linger maintain
protect conserve cover cushion defend insulate
write compose create draft note pen
avoid bypass dodge escape evade shun
prepare assemble brace develop equip form
believe admit conclude consider have hold
seem look show sound suggest hint
discuss confer consider debate deliberate examine
realize get grasp know recognize think
follow displace ensue postdate replace result
solve decide determine do explain fix
describe characterize chronicle construe define depict
prefer choose pick promote put select
discover design detect determine devise disclose
expect forecast foresee hope predict suppose
speak communicate convey declare deliver express
appear come develop emerge materialize occur
explain clarify define demonstrate describe disclose
explore examine probe research scrutinize search
lose fail forget squander suffer surrender
afford manage incur spare stand support
agree admit allow comply concede concur
hear get listen overhear read auscultate
forget obliterate disremember misrecollect
recommend back confirm endorse favor justify
complain criticize denounce disagree fret gripe
enter infiltrate introduce invade penetrate crack
happen arise arrive develop fall hit
suggest advocate offer propose put recommend
appreciate enjoy welcome
imagine conceptualize create depict devise envisage
manage conduct dominate govern guide handle
prove convince demonstrate determine explain find
recognize know make note notice observe
relax recline soften unwind repose rest
replace follow oust recover reinstate restore
borrow hire obtain rent bite bum
send assign circulate commit deliver dispatch
examine check consider criticize explore inspect
introduce offer open propose recommend submit
settle clear complete conclude decide determine
owe behind
throw deliver drive fire fling flip
adjust accustom adapt alter conform fine-tune
argue disagree dispute quarrel quibble squabble
shut lock push seal confine draw
deliver bring convey distribute drop give
rid eliminate eradicate liberate purge relieve
weigh heft measure scale
arrive enter land reach report visit
attach adhere affix connect fix link
behave operate perform react take work
celebrate laud observe perform praise proclaim
ignore discount fail forget neglect overlook
warn advise alert caution hint inform
admit concede enter grant introduce permit
apologize confess retract withdraw purge square
belong exist fit reside agree appertain
pour discharge drain flood flow gush
remind advise caution emphasize mention note
shall intend must will
suppose expect presume pretend think understand
be act breathe continue do endure
have acquire admit bear carry enjoy
make compose form generate manufacture prepare
